Begin Bates num from SYNTHETIC_PROD_001,Tag: RFP 01 - Synthetic request category 01,Tag: RFP 02 - Synthetic request category 02,Tag: RFP 03 - Synthetic request category 03,Tag: RFP 04 - Synthetic request category 04,Tag: RFP 05 - Synthetic request category 05,Tag: RFP 06 - Synthetic request category 06,Tag: RFP 07 - Synthetic request category 07,Tag: RFP 08 - Synthetic request category 08,Tag: RFP 09 - Synthetic request category 09,Tag: RFP 10 - Synthetic request category 10,Tag: RFP 11 - Synthetic request category 11,Tag: RFP 12 - Synthetic request category 12
SYNEWPLD019-0000001,Yes,,,,,,,,,,,
SYNEWPLD019-0000005,Yes,Yes,,,,,,,,,,
SYNEWPLD019-0000009,Yes,,Yes,,,,,,,,,
SYNEWPLD019-0000013,Yes,,,Yes,,,,,,,,
SYNEWPLD019-0000017,Yes,,,,Yes,,,,,,,
SYNEWPLD019-0000021,Yes,,,,,Yes,,,,,,
SYNEWPLD019-0000025,Yes,,,,,,Yes,,,,,
SYNEWPLD019-0000029,,Yes,,,,,,Yes,,,,
SYNEWPLD019-0000033,,Yes,,,,,,,Yes,,,
SYNEWPLD019-0000037,,Yes,,,,,,,,Yes,,
SYNEWPLD019-0000041,,Yes,,,,,,,,,Yes,
SYNEWPLD019-0000045,,Yes,,,,,,,,,,Yes
SYNEWPLD019-0000049,Yes,Yes,,,,,,,,,,
SYNEWPLD019-0000053,,Yes,,,,,,,,,,
SYNEWPLD019-0000057,,,Yes,,,,,,,,,
