Begin Bates num from SYNTHETIC_PROD_001,End Bates num from SYNTHETIC_PROD_001,Tag: RFP 01 - Synthetic request category 01,Tag: RFP 02 - Synthetic request category 02,Tag: RFP 03 - Synthetic request category 03,Tag: RFP 04 - Synthetic request category 04,Tag: RFP 05 - Synthetic request category 05,Tag: RFP 06 - Synthetic request category 06,Tag: RFP 07 - Synthetic request category 07,Tag: RFP 08 - Synthetic request category 08,Tag: RFP 09 - Synthetic request category 09,Tag: RFP 10 - Synthetic request category 10,Tag: RFP 11 - Synthetic request category 11,Tag: RFP 12 - Synthetic request category 12
,,Yes,,,,,,,,,,,
SYNEWPLD021-0000005,SYNEWPLD021-0000006,Yes,Yes,,,,,,,,,,
SYNEWPLD021-0000009,SYNEWPLD021-0000011,Yes,,Yes,,,,,,,,,
SYNEWPLD021-0000013,SYNEWPLD021-0000013,Yes,,,Yes,,,,,,,,
SYNEWPLD021-0000017,SYNEWPLD021-0000018,Yes,,,,Yes,,,,,,,
SYNEWPLD021-0000021,SYNEWPLD021-0000023,Yes,,,,,Yes,,,,,,
SYNEWPLD021-0000025,SYNEWPLD021-0000025,Yes,,,,,,Yes,,,,,
,SYNEWPLD021-0000030,,Yes,,,,,,Yes,,,,
SYNEWPLD021-0000033,SYNEWPLD021-0000035,,Yes,,,,,,,Yes,,,
SYNEWPLD021-0000037,SYNEWPLD021-0000037,,Yes,,,,,,,,Yes,,
SYNEWPLD021-0000041,SYNEWPLD021-0000042,,Yes,,,,,,,,,Yes,
SYNEWPLD021-0000045,SYNEWPLD021-0000047,,Yes,,,,,,,,,,Yes
SYNEWPLD021-0000049,SYNEWPLD021-0000049,Yes,Yes,,,,,,,,,,
SYNEWPLD021-0000053,SYNEWPLD021-0000054,,Yes,,,,,,,,,,
,,,,Yes,,,,,,,,,
SYNEWPLD021-0000061,SYNEWPLD021-0000061,,,Yes,Yes,,,,,,,,
SYNEWPLD021-0000065,SYNEWPLD021-0000066,,,Yes,,Yes,,,,,,,
SYNEWPLD021-0000069,SYNEWPLD021-0000071,,,Yes,,,Yes,,,,,,
SYNEWPLD021-0000073,SYNEWPLD021-0000073,,,Yes,,,,Yes,,,,,
SYNEWPLD021-0000077,SYNEWPLD021-0000078,,,Yes,,,,,Yes,,,,
SYNEWPLD021-0000081,SYNEWPLD021-0000083,,,Yes,,,,,,Yes,,,
,SYNEWPLD021-0000085,,,,Yes,,,,,,Yes,,
SYNEWPLD021-0000089,SYNEWPLD021-0000090,,,,Yes,,,,,,,Yes,
SYNEWPLD021-0000093,SYNEWPLD021-0000095,,,,Yes,,,,,,,,Yes
SYNEWPLD021-0000097,SYNEWPLD021-0000097,Yes,,,Yes,,,,,,,,
SYNEWPLD021-0000101,SYNEWPLD021-0000102,,Yes,,Yes,,,,,,,,
SYNEWPLD021-0000105,SYNEWPLD021-0000107,,,Yes,Yes,,,,,,,,
SYNEWPLD021-0000109,SYNEWPLD021-0000109,,,,Yes,,,,,,,,
,,,,,,Yes,,,,,,,
SYNEWPLD021-0000117,SYNEWPLD021-0000119,,,,,Yes,Yes,,,,,,
SYNEWPLD021-0000121,SYNEWPLD021-0000121,,,,,Yes,,Yes,,,,,
SYNEWPLD021-0000125,SYNEWPLD021-0000126,,,,,Yes,,,Yes,,,,
SYNEWPLD021-0000129,SYNEWPLD021-0000131,,,,,Yes,,,,Yes,,,
SYNEWPLD021-0000133,SYNEWPLD021-0000133,,,,,Yes,,,,,Yes,,
SYNEWPLD021-0000137,SYNEWPLD021-0000138,,,,,Yes,,,,,,Yes,
,SYNEWPLD021-0000143,,,,,,Yes,,,,,,Yes
SYNEWPLD021-0000145,SYNEWPLD021-0000145,Yes,,,,,Yes,,,,,,
SYNEWPLD021-0000149,SYNEWPLD021-0000150,,Yes,,,,Yes,,,,,,
SYNEWPLD021-0000153,SYNEWPLD021-0000155,,,Yes,,,Yes,,,,,,
SYNEWPLD021-0000157,SYNEWPLD021-0000157,,,,Yes,,Yes,,,,,,
SYNEWPLD021-0000161,SYNEWPLD021-0000162,,,,,Yes,Yes,,,,,,
SYNEWPLD021-0000165,SYNEWPLD021-0000167,,,,,,Yes,,,,,,
,,,,,,,,Yes,,,,,
SYNEWPLD021-0000173,SYNEWPLD021-0000174,,,,,,,Yes,Yes,,,,
SYNEWPLD021-0000177,SYNEWPLD021-0000179,,,,,,,Yes,,Yes,,,
SYNEWPLD021-0000181,SYNEWPLD021-0000181,,,,,,,Yes,,,Yes,,
SYNEWPLD021-0000185,SYNEWPLD021-0000186,,,,,,,Yes,,,,Yes,
SYNEWPLD021-0000189,SYNEWPLD021-0000191,,,,,,,Yes,,,,,Yes
SYNEWPLD021-0000193,SYNEWPLD021-0000193,Yes,,,,,,Yes,,,,,
,SYNEWPLD021-0000198,,Yes,,,,,,Yes,,,,
SYNEWPLD021-0000201,SYNEWPLD021-0000203,,,Yes,,,,,Yes,,,,
SYNEWPLD021-0000205,SYNEWPLD021-0000205,,,,Yes,,,,Yes,,,,
SYNEWPLD021-0000209,SYNEWPLD021-0000210,,,,,Yes,,,Yes,,,,
SYNEWPLD021-0000213,SYNEWPLD021-0000215,,,,,,Yes,,Yes,,,,
SYNEWPLD021-0000217,SYNEWPLD021-0000217,,,,,,,Yes,Yes,,,,
SYNEWPLD021-0000221,SYNEWPLD021-0000222,,,,,,,,Yes,,,,
,,,,,,,,,,Yes,,,
SYNEWPLD021-0000229,SYNEWPLD021-0000229,,,,,,,,,Yes,Yes,,
SYNEWPLD021-0000233,SYNEWPLD021-0000234,,,,,,,,,Yes,,Yes,
SYNEWPLD021-0000237,SYNEWPLD021-0000239,,,,,,,,,Yes,,,Yes
