Begin Bates num from SYNTHETIC_PROD_001,End Bates num from SYNTHETIC_PROD_001,Tag: RFP 01 - Synthetic request category 01,Tag: RFP 02 - Synthetic request category 02,Tag: RFP 03 - Synthetic request category 03,Tag: RFP 04 - Synthetic request category 04,Tag: RFP 05 - Synthetic request category 05,Tag: RFP 06 - Synthetic request category 06,Tag: RFP 07 - Synthetic request category 07,Tag: RFP 08 - Synthetic request category 08,Tag: RFP 09 - Synthetic request category 09,Tag: RFP 10 - Synthetic request category 10,Tag: RFP 11 - Synthetic request category 11,Tag: RFP 12 - Synthetic request category 12
NOT-A-BATES,SYNEWPLD022-0000001,Yes,,,,,,,,,,,
SYNEWPLD022-0000006,SYNEWPLD022-0000005,Yes,Yes,,,,,,,,,,
SYNEWPLD022-0000009,SYNMISMATCH9999999,Yes,,Yes,,,,,,,,,
SYNEWPLD022-0000013,SYNEWPLD022-0000013,Yes,,,Yes,,,,,,,,
SYNEWPLD022-0000017,SYNEWPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,Yes,,,,Yes,,,,,,,
NOT-A-BATES,SYNEWPLD022-0000023,Yes,,,,,Yes,,,,,,
SYNEWPLD022-0000025,SYNEWPLD022-0000025,Yes,,,,,,Yes,,,,,
SYNEWPLD022-0000029,SYNMISMATCH9999999,,Yes,,,,,,Yes,,,,
SYNEWPLD022-0000033,SYNEWPLD022-0000035,,Yes,,,,,,,Yes,,,
SYNEWPLD022-0000037,SYNEWPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,Yes,,,,,,,,Yes,,
NOT-A-BATES,SYNEWPLD022-0000042,,Yes,,,,,,,,,Yes,
SYNEWPLD022-0000047,SYNEWPLD022-0000045,,Yes,,,,,,,,,,Yes
SYNEWPLD022-0000049,SYNMISMATCH9999999,Yes,Yes,,,,,,,,,,
SYNEWPLD022-0000053,SYNEWPLD022-0000054,,Yes,,,,,,,,,,
SYNEWPLD022-0000057,SYNEWPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,Yes,,,,,,,,,
