Begin Bates num from SYNTHETIC_PROD_001,Begin Bates num from SYNTHETIC_PROD_001,End Bates num from SYNTHETIC_PROD_001,Tag: RFP 01 - Synthetic request category 01,Tag: RFP 02 - Synthetic request category 02,Tag: RFP 03 - Synthetic request category 03,Tag: RFP 04 - Synthetic request category 04,Tag: RFP 05 - Synthetic request category 05,Tag: RFP 06 - Synthetic request category 06,Tag: RFP 07 - Synthetic request category 07,Tag: RFP 08 - Synthetic request category 08,Tag: RFP 09 - Synthetic request category 09,Tag: RFP 10 - Synthetic request category 10,Tag: RFP 11 - Synthetic request category 11,Tag: RFP 12 - Synthetic request category 12
SYNEWPLD023-0000001,SYNEWPLD023-0000001,SYNEWPLD023-0000001,Yes,,,,,,,,,,,
SYNEWPLD023-0000005,SYNEWPLD023-0000005,SYNEWPLD023-0000006,Yes,Yes,,,,,,,,,,
SYNEWPLD023-0000009,SYNEWPLD023-0000009,SYNEWPLD023-0000011,Yes,,Yes,,,,,,,,,
SYNEWPLD023-0000013,SYNEWPLD023-0000013,SYNEWPLD023-0000013,Yes,,,Yes,,,,,,,,
SYNEWPLD023-0000017,SYNEWPLD023-0000017,SYNEWPLD023-0000018,Yes,,,,Yes,,,,,,,
SYNEWPLD023-0000021,SYNEWPLD023-0000021,SYNEWPLD023-0000023,Yes,,,,,Yes,,,,,,
SYNEWPLD023-0000025,SYNEWPLD023-0000025,SYNEWPLD023-0000025,Yes,,,,,,Yes,,,,,
SYNEWPLD023-0000029,SYNEWPLD023-0000029,SYNEWPLD023-0000030,,Yes,,,,,,Yes,,,,
SYNEWPLD023-0000033,SYNEWPLD023-0000033,SYNEWPLD023-0000035,,Yes,,,,,,,Yes,,,
SYNEWPLD023-0000037,SYNEWPLD023-0000037,SYNEWPLD023-0000037,,Yes,,,,,,,,Yes,,
SYNEWPLD023-0000041,SYNEWPLD023-0000041,SYNEWPLD023-0000042,,Yes,,,,,,,,,Yes,
SYNEWPLD023-0000045,SYNEWPLD023-0000045,SYNEWPLD023-0000047,,Yes,,,,,,,,,,Yes
SYNEWPLD023-0000049,SYNEWPLD023-0000049,SYNEWPLD023-0000049,Yes,Yes,,,,,,,,,,
SYNEWPLD023-0000053,SYNEWPLD023-0000053,SYNEWPLD023-0000054,,Yes,,,,,,,,,,
SYNEWPLD023-0000057,SYNEWPLD023-0000057,SYNEWPLD023-0000059,,,Yes,,,,,,,,,
SYNEWPLD023-0000061,SYNEWPLD023-0000061,SYNEWPLD023-0000061,,,Yes,Yes,,,,,,,,
SYNEWPLD023-0000065,SYNEWPLD023-0000065,SYNEWPLD023-0000066,,,Yes,,Yes,,,,,,,
