Begin Bates num from SYNTHETIC_PROD_001,End Bates num from SYNTHETIC_PROD_001,Tag: RFP 01 - Synthetic request category 01,Tag: RFP 02 - Synthetic request category 02,Tag: RFP 03 - Synthetic request category 03,Tag: RFP 04 - Synthetic request category 04,Tag: RFP 05 - Synthetic request category 05,Tag: RFP 06 - Synthetic request category 06,Tag: RFP 07 - Synthetic request category 07,Tag: RFP 08 - Synthetic request category 08,Tag: RFP 09 - Synthetic request category 09,Tag: RFP 10 - Synthetic request category 10,Tag: RFP 11 - Synthetic request category 11,Tag: RFP 12 - Synthetic request category 12
SYNEWPLD024-0000001,SYNEWPLD024-0000001,Yes,,,,,,,,,,,
SYNEWPLD024-0000005,SYNEWPLD024-0000006,Yes,Yes,,,,,,,,,,
SYNEWPLD024-0000009,SYNEWPLD024-0000011,Yes,,Yes,,,,,,,,,
SYNEWPLD024-0000013,SYNEWPLD024-0000013,Yes,,,Yes,,,,,,,,
SYNEWPLD024-0000017,SYNEWPLD024-0000018,Yes,,,,Yes,,,,,,,
SYNEWPLD024-0000021,SYNEWPLD024-0000023,Yes,,,,,Yes,,,,,,
SYNEWPLD024-0000025,SYNEWPLD024-0000025,Yes,,,,,,Yes,,,,,
SYNEWPLD024-0000029,SYNEWPLD024-0000030,,Yes,,,,,,Yes,,,,
SYNEWPLD024-0000033,SYNEWPLD024-0000035,,Yes,,,,,,,Yes,,,
SYNEWPLD024-0000037,SYNEWPLD024-0000037,,Yes,,,,,,,,Yes,,
SYNEWPLD024-0000041,SYNEWPLD024-0000042,,Yes,,,,,,,,,Yes,
SYNEWPLD024-0000045,SYNEWPLD024-0000047,,Yes,,,,,,,,,,Yes
SYNEWPLD024-0000049,SYNEWPLD024-0000049,Yes,Yes,,,,,,,,,,
SYNEWPLD024-0000053,SYNEWPLD024-0000054,,Yes,,,,,,,,,,
SYNEWPLD024-0000057,SYNEWPLD024-0000059,,,Yes,,,,,,,,,
SYNEWPLD024-0000061,SYNEWPLD024-0000061,,,Yes,Yes,,,,,,,,
SYNEWPLD024-0000065,SYNEWPLD024-0000066,,,Yes,,Yes,,,,,,,
SYNEWPLD024-0000069,SYNEWPLD024-0000071,,,Yes,,,Yes,,,,,,
SYNEWPLD024-0000073,SYNEWPLD024-0000073,,,Yes,,,,Yes,,,,,
SYNEWPLD024-0000077,SYNEWPLD024-0000078,,,Yes,,,,,Yes,,,,
SYNEWPLD024-0000081,SYNEWPLD024-0000083,,,Yes,,,,,,Yes,,,
SYNEWPLD024-0000085,SYNEWPLD024-0000085,,,,Yes,,,,,,Yes,,
SYNEWPLD024-0000089,SYNEWPLD024-0000090,,,,Yes,,,,,,,Yes,
SYNEWPLD024-0000093,SYNEWPLD024-0000095,,,,Yes,,,,,,,,Yes
SYNEWPLD024-0000097,SYNEWPLD024-0000097,Yes,,,Yes,,,,,,,,
SYNEWPLD024-0000101,SYNEWPLD024-0000102,,Yes,,Yes,,,,,,,,
SYNEWPLD024-0000105,SYNEWPLD024-0000107,,,Yes,Yes,,,,,,,,
SYNEWPLD024-0000109,SYNEWPLD024-0000109,,,,Yes,,,,,,,,
SYNEWPLD024-0000113,SYNEWPLD024-0000114,,,,,Yes,,,,,,,
SYNEWPLD024-0000117,SYNEWPLD024-0000119,,,,,Yes,Yes,,,,,,
SYNEWPLD024-0000121,SYNEWPLD024-0000121,,,,,Yes,,Yes,,,,,
SYNEWPLD024-0000125,SYNEWPLD024-0000126,,,,,Yes,,,Yes,,,,
SYNEWPLD024-0000129,SYNEWPLD024-0000131,,,,,Yes,,,,Yes,,,
SYNEWPLD024-0000133,SYNEWPLD024-0000133,,,,,Yes,,,,,Yes,,
