Bates/Control #,RFP: RFP 1,RFP: RFP 2,RFP: RFP 3,RFP: RFP 4,RFP: RFP 5,RFP: RFP 6,RFP: RFP 7,RFP: RFP 8,RFP: RFP 9,RFP: RFP 10,RFP: RFP 11,RFP: RFP 12
SYNLCPLD019-0000001,Yes,,,,,,,,,,,
SYNLCPLD019-0000005,Yes,Yes,,,,,,,,,,
SYNLCPLD019-0000009,Yes,,Yes,,,,,,,,,
SYNLCPLD019-0000013,Yes,,,Yes,,,,,,,,
SYNLCPLD019-0000017,Yes,,,,Yes,,,,,,,
SYNLCPLD019-0000021,Yes,,,,,Yes,,,,,,
SYNLCPLD019-0000025,Yes,,,,,,Yes,,,,,
SYNLCPLD019-0000029,,Yes,,,,,,Yes,,,,
SYNLCPLD019-0000033,,Yes,,,,,,,Yes,,,
SYNLCPLD019-0000037,,Yes,,,,,,,,Yes,,
SYNLCPLD019-0000041,,Yes,,,,,,,,,Yes,
SYNLCPLD019-0000045,,Yes,,,,,,,,,,Yes
SYNLCPLD019-0000049,Yes,Yes,,,,,,,,,,
SYNLCPLD019-0000053,,Yes,,,,,,,,,,
SYNLCPLD019-0000057,,,Yes,,,,,,,,,
