Bates/Control #,End Bates/Control #,RFP: RFP 1,RFP: RFP 2,RFP: RFP 3,RFP: RFP 4,RFP: RFP 5,RFP: RFP 6,RFP: RFP 7,RFP: RFP 8,RFP: RFP 9,RFP: RFP 10,RFP: RFP 11,RFP: RFP 12
,,Yes,,,,,,,,,,,
SYNLCPLD021-0000005,SYNLCPLD021-0000006,Yes,Yes,,,,,,,,,,
SYNLCPLD021-0000009,SYNLCPLD021-0000011,Yes,,Yes,,,,,,,,,
SYNLCPLD021-0000013,SYNLCPLD021-0000013,Yes,,,Yes,,,,,,,,
SYNLCPLD021-0000017,SYNLCPLD021-0000018,Yes,,,,Yes,,,,,,,
SYNLCPLD021-0000021,SYNLCPLD021-0000023,Yes,,,,,Yes,,,,,,
SYNLCPLD021-0000025,SYNLCPLD021-0000025,Yes,,,,,,Yes,,,,,
,SYNLCPLD021-0000030,,Yes,,,,,,Yes,,,,
SYNLCPLD021-0000033,SYNLCPLD021-0000035,,Yes,,,,,,,Yes,,,
SYNLCPLD021-0000037,SYNLCPLD021-0000037,,Yes,,,,,,,,Yes,,
SYNLCPLD021-0000041,SYNLCPLD021-0000042,,Yes,,,,,,,,,Yes,
SYNLCPLD021-0000045,SYNLCPLD021-0000047,,Yes,,,,,,,,,,Yes
SYNLCPLD021-0000049,SYNLCPLD021-0000049,Yes,Yes,,,,,,,,,,
SYNLCPLD021-0000053,SYNLCPLD021-0000054,,Yes,,,,,,,,,,
,,,,Yes,,,,,,,,,
SYNLCPLD021-0000061,SYNLCPLD021-0000061,,,Yes,Yes,,,,,,,,
SYNLCPLD021-0000065,SYNLCPLD021-0000066,,,Yes,,Yes,,,,,,,
SYNLCPLD021-0000069,SYNLCPLD021-0000071,,,Yes,,,Yes,,,,,,
SYNLCPLD021-0000073,SYNLCPLD021-0000073,,,Yes,,,,Yes,,,,,
SYNLCPLD021-0000077,SYNLCPLD021-0000078,,,Yes,,,,,Yes,,,,
SYNLCPLD021-0000081,SYNLCPLD021-0000083,,,Yes,,,,,,Yes,,,
,SYNLCPLD021-0000085,,,,Yes,,,,,,Yes,,
SYNLCPLD021-0000089,SYNLCPLD021-0000090,,,,Yes,,,,,,,Yes,
SYNLCPLD021-0000093,SYNLCPLD021-0000095,,,,Yes,,,,,,,,Yes
SYNLCPLD021-0000097,SYNLCPLD021-0000097,Yes,,,Yes,,,,,,,,
SYNLCPLD021-0000101,SYNLCPLD021-0000102,,Yes,,Yes,,,,,,,,
SYNLCPLD021-0000105,SYNLCPLD021-0000107,,,Yes,Yes,,,,,,,,
SYNLCPLD021-0000109,SYNLCPLD021-0000109,,,,Yes,,,,,,,,
,,,,,,Yes,,,,,,,
SYNLCPLD021-0000117,SYNLCPLD021-0000119,,,,,Yes,Yes,,,,,,
SYNLCPLD021-0000121,SYNLCPLD021-0000121,,,,,Yes,,Yes,,,,,
SYNLCPLD021-0000125,SYNLCPLD021-0000126,,,,,Yes,,,Yes,,,,
SYNLCPLD021-0000129,SYNLCPLD021-0000131,,,,,Yes,,,,Yes,,,
SYNLCPLD021-0000133,SYNLCPLD021-0000133,,,,,Yes,,,,,Yes,,
SYNLCPLD021-0000137,SYNLCPLD021-0000138,,,,,Yes,,,,,,Yes,
,SYNLCPLD021-0000143,,,,,,Yes,,,,,,Yes
SYNLCPLD021-0000145,SYNLCPLD021-0000145,Yes,,,,,Yes,,,,,,
SYNLCPLD021-0000149,SYNLCPLD021-0000150,,Yes,,,,Yes,,,,,,
SYNLCPLD021-0000153,SYNLCPLD021-0000155,,,Yes,,,Yes,,,,,,
SYNLCPLD021-0000157,SYNLCPLD021-0000157,,,,Yes,,Yes,,,,,,
SYNLCPLD021-0000161,SYNLCPLD021-0000162,,,,,Yes,Yes,,,,,,
SYNLCPLD021-0000165,SYNLCPLD021-0000167,,,,,,Yes,,,,,,
,,,,,,,,Yes,,,,,
SYNLCPLD021-0000173,SYNLCPLD021-0000174,,,,,,,Yes,Yes,,,,
SYNLCPLD021-0000177,SYNLCPLD021-0000179,,,,,,,Yes,,Yes,,,
SYNLCPLD021-0000181,SYNLCPLD021-0000181,,,,,,,Yes,,,Yes,,
SYNLCPLD021-0000185,SYNLCPLD021-0000186,,,,,,,Yes,,,,Yes,
SYNLCPLD021-0000189,SYNLCPLD021-0000191,,,,,,,Yes,,,,,Yes
SYNLCPLD021-0000193,SYNLCPLD021-0000193,Yes,,,,,,Yes,,,,,
,SYNLCPLD021-0000198,,Yes,,,,,,Yes,,,,
SYNLCPLD021-0000201,SYNLCPLD021-0000203,,,Yes,,,,,Yes,,,,
SYNLCPLD021-0000205,SYNLCPLD021-0000205,,,,Yes,,,,Yes,,,,
SYNLCPLD021-0000209,SYNLCPLD021-0000210,,,,,Yes,,,Yes,,,,
SYNLCPLD021-0000213,SYNLCPLD021-0000215,,,,,,Yes,,Yes,,,,
SYNLCPLD021-0000217,SYNLCPLD021-0000217,,,,,,,Yes,Yes,,,,
SYNLCPLD021-0000221,SYNLCPLD021-0000222,,,,,,,,Yes,,,,
,,,,,,,,,,Yes,,,
SYNLCPLD021-0000229,SYNLCPLD021-0000229,,,,,,,,,Yes,Yes,,
SYNLCPLD021-0000233,SYNLCPLD021-0000234,,,,,,,,,Yes,,Yes,
SYNLCPLD021-0000237,SYNLCPLD021-0000239,,,,,,,,,Yes,,,Yes
