Bates/Control #,End Bates/Control #,RFP: RFP 1,RFP: RFP 2,RFP: RFP 3,RFP: RFP 4,RFP: RFP 5,RFP: RFP 6,RFP: RFP 7,RFP: RFP 8,RFP: RFP 9,RFP: RFP 10,RFP: RFP 11,RFP: RFP 12
NOT-A-BATES,SYNLCPLD022-0000001,Yes,,,,,,,,,,,
SYNLCPLD022-0000006,SYNLCPLD022-0000005,Yes,Yes,,,,,,,,,,
SYNLCPLD022-0000009,SYNMISMATCH9999999,Yes,,Yes,,,,,,,,,
SYNLCPLD022-0000013,SYNLCPLD022-0000013,Yes,,,Yes,,,,,,,,
SYNLCPLD022-0000017,SYNLCPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,Yes,,,,Yes,,,,,,,
NOT-A-BATES,SYNLCPLD022-0000023,Yes,,,,,Yes,,,,,,
SYNLCPLD022-0000025,SYNLCPLD022-0000025,Yes,,,,,,Yes,,,,,
SYNLCPLD022-0000029,SYNMISMATCH9999999,,Yes,,,,,,Yes,,,,
SYNLCPLD022-0000033,SYNLCPLD022-0000035,,Yes,,,,,,,Yes,,,
SYNLCPLD022-0000037,SYNLCPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,Yes,,,,,,,,Yes,,
NOT-A-BATES,SYNLCPLD022-0000042,,Yes,,,,,,,,,Yes,
SYNLCPLD022-0000047,SYNLCPLD022-0000045,,Yes,,,,,,,,,,Yes
SYNLCPLD022-0000049,SYNMISMATCH9999999,Yes,Yes,,,,,,,,,,
SYNLCPLD022-0000053,SYNLCPLD022-0000054,,Yes,,,,,,,,,,
SYNLCPLD022-0000057,SYNLCPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,Yes,,,,,,,,,
NOT-A-BATES,SYNLCPLD022-0000061,,,Yes,Yes,,,,,,,,
SYNLCPLD022-0000066,SYNLCPLD022-0000065,,,Yes,,Yes,,,,,,,
SYNLCPLD022-0000069,SYNMISMATCH9999999,,,Yes,,,Yes,,,,,,
SYNLCPLD022-0000073,SYNLCPLD022-0000073,,,Yes,,,,Yes,,,,,
SYNLCPLD022-0000077,SYNLCPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,Yes,,,,,Yes,,,,
NOT-A-BATES,SYNLCPLD022-0000083,,,Yes,,,,,,Yes,,,
SYNLCPLD022-0000085,SYNLCPLD022-0000085,,,,Yes,,,,,,Yes,,
SYNLCPLD022-0000089,SYNMISMATCH9999999,,,,Yes,,,,,,,Yes,
SYNLCPLD022-0000093,SYNLCPLD022-0000095,,,,Yes,,,,,,,,Yes
SYNLCPLD022-0000097,SYNLCPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,Yes,,,Yes,,,,,,,,
NOT-A-BATES,SYNLCPLD022-0000102,,Yes,,Yes,,,,,,,,
SYNLCPLD022-0000107,SYNLCPLD022-0000105,,,Yes,Yes,,,,,,,,
SYNLCPLD022-0000109,SYNMISMATCH9999999,,,,Yes,,,,,,,,
SYNLCPLD022-0000113,SYNLCPLD022-0000114,,,,,Yes,,,,,,,
SYNLCPLD022-0000117,SYNLCPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,,,Yes,Yes,,,,,,
NOT-A-BATES,SYNLCPLD022-0000121,,,,,Yes,,Yes,,,,,
SYNLCPLD022-0000126,SYNLCPLD022-0000125,,,,,Yes,,,Yes,,,,
SYNLCPLD022-0000129,SYNMISMATCH9999999,,,,,Yes,,,,Yes,,,
SYNLCPLD022-0000133,SYNLCPLD022-0000133,,,,,Yes,,,,,Yes,,
SYNLCPLD022-0000137,SYNLCPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,,,Yes,,,,,,Yes,
NOT-A-BATES,SYNLCPLD022-0000143,,,,,,Yes,,,,,,Yes
SYNLCPLD022-0000145,SYNLCPLD022-0000145,Yes,,,,,Yes,,,,,,
SYNLCPLD022-0000149,SYNMISMATCH9999999,,Yes,,,,Yes,,,,,,
SYNLCPLD022-0000153,SYNLCPLD022-0000155,,,Yes,,,Yes,,,,,,
SYNLCPLD022-0000157,SYNLCPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,,Yes,,Yes,,,,,,
NOT-A-BATES,SYNLCPLD022-0000162,,,,,Yes,Yes,,,,,,
SYNLCPLD022-0000167,SYNLCPLD022-0000165,,,,,,Yes,,,,,,
SYNLCPLD022-0000169,SYNMISMATCH9999999,,,,,,,Yes,,,,,
SYNLCPLD022-0000173,SYNLCPLD022-0000174,,,,,,,Yes,Yes,,,,
SYNLCPLD022-0000177,SYNLCPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,,,,,Yes,,Yes,,,
NOT-A-BATES,SYNLCPLD022-0000181,,,,,,,Yes,,,Yes,,
SYNLCPLD022-0000186,SYNLCPLD022-0000185,,,,,,,Yes,,,,Yes,
SYNLCPLD022-0000189,SYNMISMATCH9999999,,,,,,,Yes,,,,,Yes
SYNLCPLD022-0000193,SYNLCPLD022-0000193,Yes,,,,,,Yes,,,,,
SYNLCPLD022-0000197,SYNLCPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,Yes,,,,,,Yes,,,,
NOT-A-BATES,SYNLCPLD022-0000203,,,Yes,,,,,Yes,,,,
SYNLCPLD022-0000205,SYNLCPLD022-0000205,,,,Yes,,,,Yes,,,,
SYNLCPLD022-0000209,SYNMISMATCH9999999,,,,,Yes,,,Yes,,,,
SYNLCPLD022-0000213,SYNLCPLD022-0000215,,,,,,Yes,,Yes,,,,
SYNLCPLD022-0000217,SYNLCPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,,,,,Yes,Yes,,,,
NOT-A-BATES,SYNLCPLD022-0000222,,,,,,,,Yes,,,,
SYNLCPLD022-0000227,SYNLCPLD022-0000225,,,,,,,,,Yes,,,
SYNLCPLD022-0000229,SYNMISMATCH9999999,,,,,,,,,Yes,Yes,,
SYNLCPLD022-0000233,SYNLCPLD022-0000234,,,,,,,,,Yes,,Yes,
SYNLCPLD022-0000237,SYNLCPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,,,,,,,Yes,,,Yes
NOT-A-BATES,SYNLCPLD022-0000241,Yes,,,,,,,,Yes,,,
SYNLCPLD022-0000246,SYNLCPLD022-0000245,,Yes,,,,,,,Yes,,,
SYNLCPLD022-0000249,SYNMISMATCH9999999,,,Yes,,,,,,Yes,,,
SYNLCPLD022-0000253,SYNLCPLD022-0000253,,,,Yes,,,,,,Yes,,
SYNLCPLD022-0000257,SYNLCPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,,,Yes,,,,,Yes,,
NOT-A-BATES,SYNLCPLD022-0000263,,,,,,Yes,,,,Yes,,
SYNLCPLD022-0000265,SYNLCPLD022-0000265,,,,,,,Yes,,,Yes,,
SYNLCPLD022-0000269,SYNMISMATCH9999999,,,,,,,,Yes,,Yes,,
SYNLCPLD022-0000273,SYNLCPLD022-0000275,,,,,,,,,Yes,Yes,,
SYNLCPLD022-0000277,SYNLCPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,,,,,,,,Yes,,
NOT-A-BATES,SYNLCPLD022-0000282,,,,,,,,,,,Yes,
SYNLCPLD022-0000287,SYNLCPLD022-0000285,,,,,,,,,,,Yes,Yes
SYNLCPLD022-0000289,SYNMISMATCH9999999,Yes,,,,,,,,,,Yes,
SYNLCPLD022-0000293,SYNLCPLD022-0000294,,Yes,,,,,,,,,Yes,
SYNLCPLD022-0000297,SYNLCPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,Yes,,,,,,,,Yes,
NOT-A-BATES,SYNLCPLD022-0000301,,,,Yes,,,,,,,Yes,
SYNLCPLD022-0000306,SYNLCPLD022-0000305,,,,,Yes,,,,,,Yes,
SYNLCPLD022-0000309,SYNMISMATCH9999999,,,,,,Yes,,,,,,Yes
SYNLCPLD022-0000313,SYNLCPLD022-0000313,,,,,,,Yes,,,,,Yes
SYNLCPLD022-0000317,SYNLCPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,,,,,,Yes,,,,Yes
NOT-A-BATES,SYNLCPLD022-0000323,,,,,,,,,Yes,,,Yes
SYNLCPLD022-0000325,SYNLCPLD022-0000325,,,,,,,,,,Yes,,Yes
SYNLCPLD022-0000329,SYNMISMATCH9999999,,,,,,,,,,,Yes,Yes
SYNLCPLD022-0000333,SYNLCPLD022-0000335,,,,,,,,,,,,Yes
SYNLCPLD022-0000337,SYNLCPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,Yes,,,,,,,,,,,
NOT-A-BATES,SYNLCPLD022-0000342,Yes,Yes,,,,,,,,,,
SYNLCPLD022-0000347,SYNLCPLD022-0000345,Yes,,Yes,,,,,,,,,
SYNLCPLD022-0000349,SYNMISMATCH9999999,Yes,,,Yes,,,,,,,,
SYNLCPLD022-0000353,SYNLCPLD022-0000354,Yes,,,,Yes,,,,,,,
SYNLCPLD022-0000357,SYNLCPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,Yes,,,,,Yes,,,,,,
NOT-A-BATES,SYNLCPLD022-0000361,Yes,,,,,,Yes,,,,,
SYNLCPLD022-0000366,SYNLCPLD022-0000365,,Yes,,,,,,Yes,,,,
SYNLCPLD022-0000369,SYNMISMATCH9999999,,Yes,,,,,,,Yes,,,
SYNLCPLD022-0000373,SYNLCPLD022-0000373,,Yes,,,,,,,,Yes,,
SYNLCPLD022-0000377,SYNLCPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,Yes,,,,,,,,,Yes,
NOT-A-BATES,SYNLCPLD022-0000383,,Yes,,,,,,,,,,Yes
SYNLCPLD022-0000385,SYNLCPLD022-0000385,Yes,Yes,,,,,,,,,,
SYNLCPLD022-0000389,SYNMISMATCH9999999,,Yes,,,,,,,,,,
SYNLCPLD022-0000393,SYNLCPLD022-0000395,,,Yes,,,,,,,,,
SYNLCPLD022-0000397,SYNLCPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,Yes,Yes,,,,,,,,
NOT-A-BATES,SYNLCPLD022-0000402,,,Yes,,Yes,,,,,,,
SYNLCPLD022-0000407,SYNLCPLD022-0000405,,,Yes,,,Yes,,,,,,
SYNLCPLD022-0000409,SYNMISMATCH9999999,,,Yes,,,,Yes,,,,,
SYNLCPLD022-0000413,SYNLCPLD022-0000414,,,Yes,,,,,Yes,,,,
SYNLCPLD022-0000417,SYNLCPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,Yes,,,,,,Yes,,,
NOT-A-BATES,SYNLCPLD022-0000421,,,,Yes,,,,,,Yes,,
SYNLCPLD022-0000426,SYNLCPLD022-0000425,,,,Yes,,,,,,,Yes,
SYNLCPLD022-0000429,SYNMISMATCH9999999,,,,Yes,,,,,,,,Yes
SYNLCPLD022-0000433,SYNLCPLD022-0000433,Yes,,,Yes,,,,,,,,
SYNLCPLD022-0000437,SYNLCPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,Yes,,Yes,,,,,,,,
NOT-A-BATES,SYNLCPLD022-0000443,,,Yes,Yes,,,,,,,,
SYNLCPLD022-0000445,SYNLCPLD022-0000445,,,,Yes,,,,,,,,
SYNLCPLD022-0000449,SYNMISMATCH9999999,,,,,Yes,,,,,,,
SYNLCPLD022-0000453,SYNLCPLD022-0000455,,,,,Yes,Yes,,,,,,
SYNLCPLD022-0000457,SYNLCPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,,,Yes,,Yes,,,,,
NOT-A-BATES,SYNLCPLD022-0000462,,,,,Yes,,,Yes,,,,
SYNLCPLD022-0000467,SYNLCPLD022-0000465,,,,,Yes,,,,Yes,,,
SYNLCPLD022-0000469,SYNMISMATCH9999999,,,,,Yes,,,,,Yes,,
SYNLCPLD022-0000473,SYNLCPLD022-0000474,,,,,Yes,,,,,,Yes,
SYNLCPLD022-0000477,SYNLCPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,,,,Yes,,,,,,Yes
NOT-A-BATES,SYNLCPLD022-0000481,Yes,,,,,Yes,,,,,,
SYNLCPLD022-0000486,SYNLCPLD022-0000485,,Yes,,,,Yes,,,,,,
SYNLCPLD022-0000489,SYNMISMATCH9999999,,,Yes,,,Yes,,,,,,
SYNLCPLD022-0000493,SYNLCPLD022-0000493,,,,Yes,,Yes,,,,,,
SYNLCPLD022-0000497,SYNLCPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,,,Yes,Yes,,,,,,
NOT-A-BATES,SYNLCPLD022-0000503,,,,,,Yes,,,,,,
SYNLCPLD022-0000505,SYNLCPLD022-0000505,,,,,,,Yes,,,,,
SYNLCPLD022-0000509,SYNMISMATCH9999999,,,,,,,Yes,Yes,,,,
SYNLCPLD022-0000513,SYNLCPLD022-0000515,,,,,,,Yes,,Yes,,,
SYNLCPLD022-0000517,SYNLCPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,,,,,Yes,,,Yes,,
NOT-A-BATES,SYNLCPLD022-0000522,,,,,,,Yes,,,,Yes,
SYNLCPLD022-0000527,SYNLCPLD022-0000525,,,,,,,Yes,,,,,Yes
SYNLCPLD022-0000529,SYNMISMATCH9999999,Yes,,,,,,Yes,,,,,
SYNLCPLD022-0000533,SYNLCPLD022-0000534,,Yes,,,,,,Yes,,,,
SYNLCPLD022-0000537,SYNLCPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,Yes,,,,,Yes,,,,
NOT-A-BATES,SYNLCPLD022-0000541,,,,Yes,,,,Yes,,,,
SYNLCPLD022-0000546,SYNLCPLD022-0000545,,,,,Yes,,,Yes,,,,
SYNLCPLD022-0000549,SYNMISMATCH9999999,,,,,,Yes,,Yes,,,,
SYNLCPLD022-0000553,SYNLCPLD022-0000553,,,,,,,Yes,Yes,,,,
SYNLCPLD022-0000557,SYNLCPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,,,,,,Yes,,,,
NOT-A-BATES,SYNLCPLD022-0000563,,,,,,,,,Yes,,,
SYNLCPLD022-0000565,SYNLCPLD022-0000565,,,,,,,,,Yes,Yes,,
SYNLCPLD022-0000569,SYNMISMATCH9999999,,,,,,,,,Yes,,Yes,
SYNLCPLD022-0000573,SYNLCPLD022-0000575,,,,,,,,,Yes,,,Yes
SYNLCPLD022-0000577,SYNLCPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,Yes,,,,,,,,Yes,,,
NOT-A-BATES,SYNLCPLD022-0000582,,Yes,,,,,,,Yes,,,
SYNLCPLD022-0000587,SYNLCPLD022-0000585,,,Yes,,,,,,Yes,,,
SYNLCPLD022-0000589,SYNMISMATCH9999999,,,,Yes,,,,,,Yes,,
SYNLCPLD022-0000593,SYNLCPLD022-0000594,,,,,Yes,,,,,Yes,,
SYNLCPLD022-0000597,SYNLCPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,,,,Yes,,,,Yes,,
