Bates/Control #,Bates/Control #,End Bates/Control #,RFP: RFP 1,RFP: RFP 2,RFP: RFP 3,RFP: RFP 4,RFP: RFP 5,RFP: RFP 6,RFP: RFP 7,RFP: RFP 8,RFP: RFP 9,RFP: RFP 10,RFP: RFP 11,RFP: RFP 12
SYNLCPLD023-0000001,SYNLCPLD023-0000001,SYNLCPLD023-0000001,Yes,,,,,,,,,,,
SYNLCPLD023-0000005,SYNLCPLD023-0000005,SYNLCPLD023-0000006,Yes,Yes,,,,,,,,,,
SYNLCPLD023-0000009,SYNLCPLD023-0000009,SYNLCPLD023-0000011,Yes,,Yes,,,,,,,,,
SYNLCPLD023-0000013,SYNLCPLD023-0000013,SYNLCPLD023-0000013,Yes,,,Yes,,,,,,,,
SYNLCPLD023-0000017,SYNLCPLD023-0000017,SYNLCPLD023-0000018,Yes,,,,Yes,,,,,,,
SYNLCPLD023-0000021,SYNLCPLD023-0000021,SYNLCPLD023-0000023,Yes,,,,,Yes,,,,,,
SYNLCPLD023-0000025,SYNLCPLD023-0000025,SYNLCPLD023-0000025,Yes,,,,,,Yes,,,,,
SYNLCPLD023-0000029,SYNLCPLD023-0000029,SYNLCPLD023-0000030,,Yes,,,,,,Yes,,,,
SYNLCPLD023-0000033,SYNLCPLD023-0000033,SYNLCPLD023-0000035,,Yes,,,,,,,Yes,,,
SYNLCPLD023-0000037,SYNLCPLD023-0000037,SYNLCPLD023-0000037,,Yes,,,,,,,,Yes,,
SYNLCPLD023-0000041,SYNLCPLD023-0000041,SYNLCPLD023-0000042,,Yes,,,,,,,,,Yes,
SYNLCPLD023-0000045,SYNLCPLD023-0000045,SYNLCPLD023-0000047,,Yes,,,,,,,,,,Yes
SYNLCPLD023-0000049,SYNLCPLD023-0000049,SYNLCPLD023-0000049,Yes,Yes,,,,,,,,,,
SYNLCPLD023-0000053,SYNLCPLD023-0000053,SYNLCPLD023-0000054,,Yes,,,,,,,,,,
SYNLCPLD023-0000057,SYNLCPLD023-0000057,SYNLCPLD023-0000059,,,Yes,,,,,,,,,
SYNLCPLD023-0000061,SYNLCPLD023-0000061,SYNLCPLD023-0000061,,,Yes,Yes,,,,,,,,
SYNLCPLD023-0000065,SYNLCPLD023-0000065,SYNLCPLD023-0000066,,,Yes,,Yes,,,,,,,
SYNLCPLD023-0000069,SYNLCPLD023-0000069,SYNLCPLD023-0000071,,,Yes,,,Yes,,,,,,
SYNLCPLD023-0000073,SYNLCPLD023-0000073,SYNLCPLD023-0000073,,,Yes,,,,Yes,,,,,
SYNLCPLD023-0000077,SYNLCPLD023-0000077,SYNLCPLD023-0000078,,,Yes,,,,,Yes,,,,
SYNLCPLD023-0000081,SYNLCPLD023-0000081,SYNLCPLD023-0000083,,,Yes,,,,,,Yes,,,
SYNLCPLD023-0000085,SYNLCPLD023-0000085,SYNLCPLD023-0000085,,,,Yes,,,,,,Yes,,
SYNLCPLD023-0000089,SYNLCPLD023-0000089,SYNLCPLD023-0000090,,,,Yes,,,,,,,Yes,
SYNLCPLD023-0000093,SYNLCPLD023-0000093,SYNLCPLD023-0000095,,,,Yes,,,,,,,,Yes
SYNLCPLD023-0000097,SYNLCPLD023-0000097,SYNLCPLD023-0000097,Yes,,,Yes,,,,,,,,
SYNLCPLD023-0000101,SYNLCPLD023-0000101,SYNLCPLD023-0000102,,Yes,,Yes,,,,,,,,
SYNLCPLD023-0000105,SYNLCPLD023-0000105,SYNLCPLD023-0000107,,,Yes,Yes,,,,,,,,
SYNLCPLD023-0000109,SYNLCPLD023-0000109,SYNLCPLD023-0000109,,,,Yes,,,,,,,,
SYNLCPLD023-0000113,SYNLCPLD023-0000113,SYNLCPLD023-0000114,,,,,Yes,,,,,,,
SYNLCPLD023-0000117,SYNLCPLD023-0000117,SYNLCPLD023-0000119,,,,,Yes,Yes,,,,,,
SYNLCPLD023-0000121,SYNLCPLD023-0000121,SYNLCPLD023-0000121,,,,,Yes,,Yes,,,,,
SYNLCPLD023-0000125,SYNLCPLD023-0000125,SYNLCPLD023-0000126,,,,,Yes,,,Yes,,,,
SYNLCPLD023-0000129,SYNLCPLD023-0000129,SYNLCPLD023-0000131,,,,,Yes,,,,Yes,,,
SYNLCPLD023-0000133,SYNLCPLD023-0000133,SYNLCPLD023-0000133,,,,,Yes,,,,,Yes,,
SYNLCPLD023-0000137,SYNLCPLD023-0000137,SYNLCPLD023-0000138,,,,,Yes,,,,,,Yes,
SYNLCPLD023-0000141,SYNLCPLD023-0000141,SYNLCPLD023-0000143,,,,,,Yes,,,,,,Yes
SYNLCPLD023-0000145,SYNLCPLD023-0000145,SYNLCPLD023-0000145,Yes,,,,,Yes,,,,,,
SYNLCPLD023-0000149,SYNLCPLD023-0000149,SYNLCPLD023-0000150,,Yes,,,,Yes,,,,,,
SYNLCPLD023-0000153,SYNLCPLD023-0000153,SYNLCPLD023-0000155,,,Yes,,,Yes,,,,,,
SYNLCPLD023-0000157,SYNLCPLD023-0000157,SYNLCPLD023-0000157,,,,Yes,,Yes,,,,,,
SYNLCPLD023-0000161,SYNLCPLD023-0000161,SYNLCPLD023-0000162,,,,,Yes,Yes,,,,,,
SYNLCPLD023-0000165,SYNLCPLD023-0000165,SYNLCPLD023-0000167,,,,,,Yes,,,,,,
SYNLCPLD023-0000169,SYNLCPLD023-0000169,SYNLCPLD023-0000169,,,,,,,Yes,,,,,
SYNLCPLD023-0000173,SYNLCPLD023-0000173,SYNLCPLD023-0000174,,,,,,,Yes,Yes,,,,
SYNLCPLD023-0000177,SYNLCPLD023-0000177,SYNLCPLD023-0000179,,,,,,,Yes,,Yes,,,
SYNLCPLD023-0000181,SYNLCPLD023-0000181,SYNLCPLD023-0000181,,,,,,,Yes,,,Yes,,
SYNLCPLD023-0000185,SYNLCPLD023-0000185,SYNLCPLD023-0000186,,,,,,,Yes,,,,Yes,
SYNLCPLD023-0000189,SYNLCPLD023-0000189,SYNLCPLD023-0000191,,,,,,,Yes,,,,,Yes
SYNLCPLD023-0000193,SYNLCPLD023-0000193,SYNLCPLD023-0000193,Yes,,,,,,Yes,,,,,
SYNLCPLD023-0000197,SYNLCPLD023-0000197,SYNLCPLD023-0000198,,Yes,,,,,,Yes,,,,
SYNLCPLD023-0000201,SYNLCPLD023-0000201,SYNLCPLD023-0000203,,,Yes,,,,,Yes,,,,
SYNLCPLD023-0000205,SYNLCPLD023-0000205,SYNLCPLD023-0000205,,,,Yes,,,,Yes,,,,
SYNLCPLD023-0000209,SYNLCPLD023-0000209,SYNLCPLD023-0000210,,,,,Yes,,,Yes,,,,
SYNLCPLD023-0000213,SYNLCPLD023-0000213,SYNLCPLD023-0000215,,,,,,Yes,,Yes,,,,
SYNLCPLD023-0000217,SYNLCPLD023-0000217,SYNLCPLD023-0000217,,,,,,,Yes,Yes,,,,
SYNLCPLD023-0000221,SYNLCPLD023-0000221,SYNLCPLD023-0000222,,,,,,,,Yes,,,,
SYNLCPLD023-0000225,SYNLCPLD023-0000225,SYNLCPLD023-0000227,,,,,,,,,Yes,,,
