Bates/Control #,End Bates/Control #,RFP: RFP 1,RFP: RFP 2,RFP: RFP 3,RFP: RFP 4,RFP: RFP 5,RFP: RFP 6,RFP: RFP 7,RFP: RFP 8,RFP: RFP 9,RFP: RFP 10,RFP: RFP 11,RFP: RFP 12
SYNLCPLD024-0000001,SYNLCPLD024-0000001,Yes,,,,,,,,,,,
SYNLCPLD024-0000005,SYNLCPLD024-0000006,Yes,Yes,,,,,,,,,,
SYNLCPLD024-0000009,SYNLCPLD024-0000011,Yes,,Yes,,,,,,,,,
SYNLCPLD024-0000013,SYNLCPLD024-0000013,Yes,,,Yes,,,,,,,,
SYNLCPLD024-0000017,SYNLCPLD024-0000018,Yes,,,,Yes,,,,,,,
SYNLCPLD024-0000021,SYNLCPLD024-0000023,Yes,,,,,Yes,,,,,,
SYNLCPLD024-0000025,SYNLCPLD024-0000025,Yes,,,,,,Yes,,,,,
SYNLCPLD024-0000029,SYNLCPLD024-0000030,,Yes,,,,,,Yes,,,,
SYNLCPLD024-0000033,SYNLCPLD024-0000035,,Yes,,,,,,,Yes,,,
SYNLCPLD024-0000037,SYNLCPLD024-0000037,,Yes,,,,,,,,Yes,,
SYNLCPLD024-0000041,SYNLCPLD024-0000042,,Yes,,,,,,,,,Yes,
SYNLCPLD024-0000045,SYNLCPLD024-0000047,,Yes,,,,,,,,,,Yes
SYNLCPLD024-0000049,SYNLCPLD024-0000049,Yes,Yes,,,,,,,,,,
SYNLCPLD024-0000053,SYNLCPLD024-0000054,,Yes,,,,,,,,,,
SYNLCPLD024-0000057,SYNLCPLD024-0000059,,,Yes,,,,,,,,,
SYNLCPLD024-0000061,SYNLCPLD024-0000061,,,Yes,Yes,,,,,,,,
SYNLCPLD024-0000065,SYNLCPLD024-0000066,,,Yes,,Yes,,,,,,,
SYNLCPLD024-0000069,SYNLCPLD024-0000071,,,Yes,,,Yes,,,,,,
SYNLCPLD024-0000073,SYNLCPLD024-0000073,,,Yes,,,,Yes,,,,,
SYNLCPLD024-0000077,SYNLCPLD024-0000078,,,Yes,,,,,Yes,,,,
SYNLCPLD024-0000081,SYNLCPLD024-0000083,,,Yes,,,,,,Yes,,,
SYNLCPLD024-0000085,SYNLCPLD024-0000085,,,,Yes,,,,,,Yes,,
SYNLCPLD024-0000089,SYNLCPLD024-0000090,,,,Yes,,,,,,,Yes,
SYNLCPLD024-0000093,SYNLCPLD024-0000095,,,,Yes,,,,,,,,Yes
SYNLCPLD024-0000097,SYNLCPLD024-0000097,Yes,,,Yes,,,,,,,,
SYNLCPLD024-0000101,SYNLCPLD024-0000102,,Yes,,Yes,,,,,,,,
